Episodio,Tiempo(s),RecompensaTotal,Resultado
0,17.08,0.61,EXITO
2,16.76,0.64,EXITO
3,7.36,0.85,EXITO
1,41.72,0.19,EXITO
7,12.62,0.75,EXITO
8,16.46,0.64,EXITO
8,6.40,0.86,EXITO
9,8.74,0.81,EXITO
10,17.38,0.66,EXITO
11,19.76,0.69,EXITO
12,6.14,0.90,EXITO
12,18.40,0.58,EXITO
13,10.94,0.80,EXITO
15,5.02,0.90,EXITO
14,17.08,0.63,EXITO
16,14.18,0.76,EXITO
16,19.08,0.61,EXITO
17,4.69,0.91,EXITO
18,14.62,0.68,EXITO
19,6.20,0.91,EXITO
22,6.72,0.93,EXITO
22,13.60,0.76,EXITO
22,8.12,0.94,EXITO
23,8.37,0.84,EXITO
23,6.56,0.86,EXITO
24,8.46,1.03,EXITO
23,6.56,0.87,EXITO
24,2.62,0.96,EXITO
23,16.04,0.74,EXITO
25,18.52,0.67,EXITO
26,10.40,0.88,EXITO
27,11.56,0.77,EXITO
27,13.60,0.88,EXITO
25,17.42,0.79,EXITO
26,11.84,0.84,EXITO
28,8.28,1.00,EXITO
26,18.64,0.72,EXITO
27,4.80,1.13,EXITO
28,7.44,1.00,EXITO
29,4.76,0.98,EXITO
30,6.48,1.02,EXITO
30,3.65,0.94,EXITO
30,1.82,1.00,EXITO
34,3.12,1.04,EXITO
32,2.62,1.01,EXITO
7,0.82,1.01,EXITO
33,2.80,0.94,EXITO
33,7.50,1.06,EXITO
34,18.79,0.73,EXITO
35,5.10,0.94,EXITO
35,6.00,1.08,EXITO
35,6.08,1.06,EXITO
36,5.19,1.08,EXITO
38,1.96,1.06,EXITO
38,6.58,1.11,EXITO
37,15.34,0.77,EXITO
38,2.24,1.07,EXITO
37,3.96,0.93,EXITO
38,7.16,1.09,EXITO
40,15.66,0.82,EXITO
41,0.32,1.06,EXITO
41,4.30,0.92,EXITO
42,9.27,0.96,EXITO
41,2.46,0.96,EXITO
40,1.36,1.01,EXITO
41,8.54,0.95,EXITO
42,4.78,1.01,EXITO
42,10.58,0.95,EXITO
42,8.78,0.99,EXITO
44,3.42,1.04,EXITO
43,4.08,1.01,EXITO
45,0.36,0.99,EXITO
44,9.48,1.01,EXITO
44,7.32,0.87,EXITO
45,9.02,0.85,EXITO
44,3.06,1.03,EXITO
46,3.02,1.19,EXITO
45,0.38,1.00,EXITO
47,7.78,0.85,EXITO
47,3.88,0.97,EXITO
46,1.78,1.13,EXITO
46,2.96,1.00,EXITO
48,3.56,1.11,EXITO
49,3.66,1.03,EXITO
49,1.63,0.99,EXITO
47,0.58,1.07,EXITO
46,1.64,0.98,EXITO
50,0.88,1.03,EXITO
50,6.68,1.02,EXITO
51,9.44,1.01,EXITO
49,4.30,1.16,EXITO
52,5.06,0.98,EXITO
53,6.56,1.04,EXITO
55,0.78,1.02,EXITO
53,0.78,1.11,EXITO
54,7.33,0.93,EXITO
56,1.28,1.03,EXITO
57,2.02,1.12,EXITO
59,3.96,0.93,EXITO
58,4.41,1.17,EXITO
59,3.96,1.07,EXITO
60,5.14,0.89,EXITO
59,7.40,1.10,EXITO
57,4.60,1.14,EXITO
61,2.70,1.03,EXITO
62,2.45,1.00,EXITO
61,0.56,1.01,EXITO
59,3.62,1.08,EXITO
62,3.74,0.97,EXITO
64,0.80,1.06,EXITO
65,2.96,1.00,EXITO
63,2.96,1.19,EXITO
65,3.58,1.18,EXITO
68,5.70,1.09,EXITO
65,4.18,0.96,EXITO
65,1.52,1.16,EXITO
67,2.94,1.00,EXITO
67,0.76,1.00,EXITO
68,3.54,1.14,EXITO
68,1.06,1.02,EXITO
68,1.54,1.00,EXITO
67,2.70,0.97,EXITO
68,1.20,1.26,EXITO
69,5.88,1.09,EXITO
70,2.18,1.07,EXITO
69,0.30,1.03,EXITO
72,2.54,1.05,EXITO
71,10.14,0.94,EXITO
74,1.18,1.25,EXITO
74,1.84,1.18,EXITO
76,2.02,1.23,EXITO
75,4.12,0.97,EXITO
76,2.10,1.21,EXITO
78,2.18,1.10,EXITO
77,2.06,1.26,EXITO
16,2.08,1.01,EXITO
80,1.98,1.15,EXITO
78,1.12,1.22,EXITO
77,2.98,1.19,EXITO
81,1.44,1.15,EXITO
83,1.86,1.05,EXITO
80,1.28,1.08,EXITO
80,12.64,0.93,EXITO
82,4.42,1.01,EXITO
82,3.46,0.94,EXITO
82,0.60,1.06,EXITO
86,2.56,1.16,EXITO
85,1.50,0.98,EXITO
85,2.62,1.07,EXITO
87,2.90,1.12,EXITO
84,1.24,1.03,EXITO
90,1.94,1.21,EXITO
87,0.62,1.03,EXITO
87,7.68,0.97,EXITO
87,2.18,1.19,EXITO
90,1.32,1.01,EXITO
88,1.02,1.04,EXITO
86,1.12,1.01,EXITO
87,3.00,1.07,EXITO
90,1.28,1.09,EXITO
89,5.82,0.89,EXITO
88,2.12,1.03,EXITO
90,1.44,1.00,EXITO
89,3.10,0.98,EXITO
91,6.20,0.90,EXITO
91,1.18,1.20,EXITO
92,1.50,1.13,EXITO
89,1.20,1.02,EXITO
97,1.00,1.10,EXITO
20,2.06,1.14,EXITO
21,3.22,1.15,EXITO
96,5.66,0.98,EXITO
97,3.89,0.96,EXITO
96,3.60,1.03,EXITO
97,1.98,1.03,EXITO
99,2.72,1.22,EXITO
100,4.50,1.04,EXITO
102,9.64,1.03,EXITO
102,6.86,0.90,EXITO
104,3.48,0.95,EXITO
105,1.15,1.16,EXITO
101,0.80,1.01,EXITO
103,2.14,1.10,EXITO
102,0.86,1.11,EXITO
103,12.30,0.76,EXITO
104,4.32,1.00,EXITO
100,1.52,1.12,EXITO
105,1.95,0.98,EXITO
104,4.47,1.00,EXITO
104,9.82,0.94,EXITO
105,9.52,0.85,EXITO
105,2.20,1.03,EXITO
106,1.84,1.13,EXITO
105,9.62,0.87,EXITO
107,1.04,1.01,EXITO
108,6.97,0.95,EXITO
105,0.90,1.24,EXITO
108,7.42,1.02,EXITO
109,2.14,1.20,EXITO
112,0.62,1.03,EXITO
110,10.06,0.86,EXITO
109,4.60,1.03,EXITO
111,3.95,1.10,EXITO
112,1.22,1.02,EXITO
108,3.56,1.10,EXITO
113,1.35,1.06,EXITO
110,4.36,1.01,EXITO
115,0.44,1.01,EXITO
108,0.94,1.22,EXITO
110,1.26,1.26,EXITO
113,2.04,0.99,EXITO
113,1.22,1.26,EXITO
118,1.26,1.07,EXITO
115,2.18,1.09,EXITO
113,0.88,1.18,EXITO
115,1.66,1.27,EXITO
116,1.92,1.12,EXITO
116,1.42,1.26,EXITO
117,1.00,1.27,EXITO
118,1.98,1.13,EXITO
119,1.21,1.11,EXITO
119,3.92,0.99,EXITO
119,1.18,1.29,EXITO
116,9.24,0.79,EXITO
117,0.83,1.08,EXITO
121,13.54,0.97,EXITO
119,1.22,1.15,EXITO
123,2.36,1.22,EXITO
119,0.58,1.00,EXITO
122,0.96,1.11,EXITO
119,3.14,1.17,EXITO
121,1.36,1.00,EXITO
123,1.22,0.99,EXITO
121,1.78,1.12,EXITO
124,0.78,1.01,EXITO
126,0.94,1.09,EXITO
125,1.68,1.11,EXITO
122,0.72,1.04,EXITO
125,1.68,1.01,EXITO
126,0.48,1.00,EXITO
27,0.40,1.04,EXITO
123,1.76,1.03,EXITO
123,1.26,1.26,EXITO
124,6.25,1.02,EXITO
126,1.80,1.16,EXITO
127,3.18,0.98,EXITO
121,0.98,1.23,EXITO
123,0.56,1.05,EXITO
128,1.60,1.05,EXITO
125,1.78,1.16,EXITO
123,3.90,0.94,EXITO
127,1.28,1.25,EXITO
130,1.10,1.03,EXITO
132,1.44,1.08,EXITO
127,8.52,0.86,EXITO
125,0.18,1.01,EXITO
129,0.58,1.01,EXITO
135,0.38,1.01,EXITO
130,5.72,0.88,EXITO
133,1.18,1.05,EXITO
137,2.04,1.09,EXITO
135,2.08,0.98,EXITO
132,2.90,1.16,EXITO
133,1.73,1.06,EXITO
131,1.58,0.99,EXITO
135,1.26,1.09,EXITO
138,1.26,1.17,EXITO
132,1.44,1.04,EXITO
134,1.70,1.21,EXITO
141,0.44,1.01,EXITO
137,1.54,1.01,EXITO
145,0.94,1.21,EXITO
142,1.42,1.23,EXITO
140,9.26,0.90,EXITO
138,1.22,1.21,EXITO
139,4.79,1.03,EXITO
138,17.90,0.79,EXITO
142,1.76,1.11,EXITO
143,1.36,1.00,EXITO
140,4.32,1.14,EXITO
146,1.28,1.20,EXITO
140,2.04,1.20,EXITO
143,10.40,1.00,EXITO
145,12.44,0.88,EXITO
143,0.94,1.09,EXITO
144,1.46,1.16,EXITO
147,3.42,0.99,EXITO
151,7.98,0.94,EXITO
146,0.62,1.08,EXITO
152,3.26,1.16,EXITO
145,1.20,1.12,EXITO
32,1.94,1.02,EXITO
154,3.64,1.17,EXITO
150,2.04,1.01,EXITO
150,1.12,1.10,EXITO
147,2.46,1.21,EXITO
151,3.34,0.94,EXITO
148,3.39,0.95,EXITO
149,2.06,1.14,EXITO
152,1.00,1.05,EXITO
153,2.16,0.99,EXITO
152,0.30,1.02,EXITO
151,1.84,1.14,EXITO
155,1.54,1.06,EXITO
156,1.95,1.18,EXITO
154,1.80,1.00,EXITO
148,5.14,1.10,EXITO
156,0.92,1.24,EXITO
156,4.68,0.91,EXITO
156,1.92,0.99,EXITO
152,1.42,1.27,EXITO
158,2.90,1.05,EXITO
153,1.52,0.97,EXITO
159,7.98,0.89,EXITO
156,0.56,1.02,EXITO
158,2.44,1.13,EXITO
159,3.23,0.94,EXITO
162,1.94,1.08,EXITO
162,1.40,0.98,EXITO
159,4.76,0.97,EXITO
165,2.30,1.12,EXITO
158,0.90,1.26,EXITO
164,2.54,1.07,EXITO
161,0.74,1.13,EXITO
166,1.22,1.02,EXITO
169,2.96,0.96,EXITO
164,4.16,1.18,EXITO
165,4.88,0.99,EXITO
171,2.30,1.23,EXITO
166,1.74,1.13,EXITO
164,2.02,1.01,EXITO
165,0.67,1.20,EXITO
174,1.32,1.05,EXITO
165,3.46,1.07,EXITO
167,3.64,1.06,EXITO
168,2.19,1.11,EXITO
166,4.20,0.98,EXITO
171,1.56,0.97,EXITO
37,1.44,1.17,EXITO
166,0.48,1.02,EXITO
168,0.82,1.05,EXITO
171,2.08,1.03,EXITO
167,2.66,0.99,EXITO
175,4.86,1.05,EXITO
170,2.42,1.08,EXITO
170,0.94,1.00,EXITO
173,1.38,1.26,EXITO
178,6.90,0.91,EXITO
170,2.38,1.05,EXITO
176,3.20,0.97,EXITO
178,1.10,1.23,EXITO
175,0.76,1.03,EXITO
173,1.06,1.00,EXITO
181,4.20,1.13,EXITO
177,0.86,1.08,EXITO
178,0.87,1.00,EXITO
179,13.38,0.75,EXITO
178,3.86,1.02,EXITO
186,1.96,1.24,EXITO
176,1.24,1.26,EXITO
177,1.63,0.98,EXITO
180,0.84,1.30,EXITO
181,0.76,1.05,EXITO
181,0.96,1.05,EXITO
182,0.85,0.99,EXITO
183,4.96,0.97,EXITO
184,1.08,1.27,EXITO
181,5.46,0.94,EXITO
178,1.28,1.13,EXITO
184,0.82,1.04,EXITO
185,0.74,1.01,EXITO
185,1.40,1.15,EXITO
186,1.01,1.14,EXITO
185,5.08,0.90,EXITO
187,2.98,0.96,EXITO
186,3.36,1.08,EXITO
185,3.86,1.06,EXITO
41,4.26,0.98,EXITO
190,0.94,0.99,EXITO
191,1.28,1.04,EXITO
190,0.42,1.03,EXITO
190,3.00,1.16,EXITO
190,1.60,1.13,EXITO
192,0.90,1.24,EXITO
187,6.46,0.89,EXITO
189,1.04,1.22,EXITO
197,0.50,1.06,EXITO
193,2.80,1.07,EXITO
194,0.80,1.22,EXITO
189,0.70,1.05,EXITO
191,1.34,1.10,EXITO
193,0.68,1.03,EXITO
199,0.60,1.08,EXITO
194,1.62,1.06,EXITO
194,0.74,1.19,EXITO
196,0.84,1.01,EXITO
197,2.80,1.08,EXITO
198,0.57,1.11,EXITO
193,1.08,1.05,EXITO
193,0.70,1.19,EXITO
198,0.88,1.07,EXITO
201,0.94,1.28,EXITO
199,1.12,1.24,EXITO
198,1.50,1.18,EXITO
193,3.20,1.21,EXITO
194,0.48,1.05,EXITO
199,0.96,1.16,EXITO
204,0.80,1.22,EXITO
202,1.96,1.06,EXITO
202,0.70,1.22,EXITO
207,1.26,1.11,EXITO
202,0.80,1.22,EXITO
204,2.78,1.19,EXITO
206,0.42,1.04,EXITO
207,1.47,1.13,EXITO
196,0.84,1.23,EXITO
202,0.84,1.11,EXITO
200,0.64,1.05,EXITO
206,2.38,1.16,EXITO
206,3.48,0.92,EXITO
207,0.73,1.04,EXITO
212,1.44,1.20,EXITO
208,0.42,1.02,EXITO
209,2.40,1.20,EXITO
207,0.90,1.13,EXITO
211,2.26,1.10,EXITO
205,1.08,1.29,EXITO
206,4.87,1.20,EXITO
214,1.18,1.00,EXITO
46,0.70,1.13,EXITO
213,1.60,1.03,EXITO
214,0.49,1.03,EXITO
213,7.98,1.04,EXITO
210,1.04,1.00,EXITO
215,0.64,1.11,EXITO
213,1.58,1.16,EXITO
206,2.12,1.04,EXITO
213,0.88,1.09,EXITO
212,0.74,1.24,EXITO
219,1.00,1.20,EXITO
215,0.50,1.02,EXITO
219,1.94,1.16,EXITO
215,0.98,0.98,EXITO
214,3.60,0.97,EXITO
223,3.10,1.03,EXITO
224,0.70,1.13,EXITO
223,0.86,1.23,EXITO
221,2.32,1.07,EXITO
214,2.18,1.05,EXITO
215,1.67,1.00,EXITO
218,0.86,1.02,EXITO
216,3.52,1.03,EXITO
221,1.88,0.97,EXITO
220,0.44,1.02,EXITO
219,0.64,1.15,EXITO
222,8.62,0.94,EXITO
225,1.88,0.99,EXITO
220,2.32,1.13,EXITO
221,1.48,1.00,EXITO
225,1.50,0.99,EXITO
225,2.02,0.98,EXITO
224,0.98,1.06,EXITO
225,0.63,1.17,EXITO
222,1.52,1.11,EXITO
229,1.12,1.05,EXITO
228,1.82,1.22,EXITO
226,1.18,1.30,EXITO
232,1.02,1.00,EXITO
233,4.82,0.90,EXITO
231,0.60,1.13,EXITO
237,6.60,0.88,EXITO
234,1.92,1.04,EXITO
229,1.36,1.11,EXITO
235,6.58,0.89,EXITO
51,0.58,1.11,EXITO
52,0.90,1.22,EXITO
224,1.66,1.10,EXITO
232,1.00,1.18,EXITO
233,0.84,1.06,EXITO
232,1.30,1.08,EXITO
236,1.10,1.01,EXITO
239,0.88,1.01,EXITO
240,0.83,1.03,EXITO
240,0.70,1.16,EXITO
241,1.89,1.23,EXITO
235,0.94,1.10,EXITO
236,0.43,1.07,EXITO
238,0.48,1.06,EXITO
231,0.54,1.00,EXITO
236,0.98,1.21,EXITO
238,3.64,0.95,EXITO
239,0.58,1.11,EXITO
238,0.90,1.04,EXITO
231,1.10,1.22,EXITO
246,2.30,1.00,EXITO
241,0.96,1.29,EXITO
236,2.42,1.08,EXITO
242,1.16,1.21,EXITO
244,1.02,1.23,EXITO
238,0.54,1.02,EXITO
247,1.28,1.08,EXITO
248,0.86,1.27,EXITO
249,0.63,1.00,EXITO
244,1.16,1.02,EXITO
246,3.18,1.03,EXITO
245,1.22,1.12,EXITO
247,0.80,1.20,EXITO
246,1.46,0.97,EXITO
247,3.56,1.00,EXITO
247,0.90,1.24,EXITO
244,1.32,1.22,EXITO
245,1.07,1.19,EXITO
246,2.96,1.06,EXITO
249,4.46,1.10,EXITO
248,0.90,1.04,EXITO
249,0.82,1.08,EXITO
248,0.94,1.28,EXITO
248,0.88,1.25,EXITO
251,9.38,1.00,EXITO
250,4.34,0.91,EXITO
251,0.52,1.07,EXITO
254,2.24,1.05,EXITO
252,2.10,1.00,EXITO
247,0.86,1.27,EXITO
255,1.28,1.04,EXITO
255,1.06,1.00,EXITO
256,4.52,1.05,EXITO
256,9.18,0.79,EXITO
256,0.26,1.01,EXITO
251,1.12,1.07,EXITO
258,1.54,1.07,EXITO
252,4.02,0.93,EXITO
259,0.78,1.10,EXITO
255,0.88,1.14,EXITO
261,0.94,1.29,EXITO
264,0.54,1.06,EXITO
263,3.34,0.99,EXITO
264,0.72,1.19,EXITO
260,1.22,1.03,EXITO
267,0.66,1.04,EXITO
268,5.28,0.91,EXITO
266,2.84,1.08,EXITO
268,1.08,1.27,EXITO
268,0.76,1.18,EXITO
264,0.78,1.20,EXITO
271,1.64,1.02,EXITO
272,1.45,1.04,EXITO
272,0.74,1.08,EXITO
272,0.74,1.22,EXITO
257,0.72,1.21,EXITO
258,0.76,1.02,EXITO
271,4.06,0.94,EXITO
271,4.04,0.97,EXITO
265,1.96,0.99,EXITO
268,0.66,1.16,EXITO
269,0.73,1.13,EXITO
272,0.68,1.13,EXITO
273,0.44,1.03,EXITO
275,0.48,1.04,EXITO
263,0.46,1.05,EXITO
271,2.08,1.25,EXITO
272,2.76,1.02,EXITO
273,0.60,1.18,EXITO
278,0.46,1.02,EXITO
276,0.56,1.10,EXITO
279,0.58,1.14,EXITO
277,0.74,1.28,EXITO
279,0.72,1.18,EXITO
281,1.68,1.04,EXITO
283,1.44,1.12,EXITO
283,0.94,0.99,EXITO
273,4.04,0.95,EXITO
274,0.74,1.30,EXITO
282,2.06,0.99,EXITO
283,18.66,0.57,EXITO
286,0.74,1.22,EXITO
279,0.74,1.25,EXITO
287,1.72,1.03,EXITO
288,0.72,1.02,EXITO
282,11.74,0.85,EXITO
289,1.54,0.99,EXITO
283,0.78,1.05,EXITO
280,0.66,1.14,EXITO
281,0.70,1.16,EXITO
286,0.76,1.16,EXITO
279,0.90,1.04,EXITO
282,1.90,1.06,EXITO
62,0.88,1.13,EXITO
285,0.72,1.22,EXITO
287,0.98,1.09,EXITO
284,10.20,0.84,EXITO
289,15.56,0.88,EXITO
277,0.88,1.23,EXITO
291,0.76,1.31,EXITO
292,0.94,1.15,EXITO
293,0.29,1.03,EXITO
64,0.72,1.16,EXITO
291,6.72,1.05,EXITO
292,0.71,1.26,EXITO
286,0.68,1.03,EXITO
290,0.72,1.23,EXITO
291,1.60,0.99,EXITO
290,0.62,1.18,EXITO
291,1.98,1.19,EXITO
292,0.76,1.28,EXITO
293,0.46,1.01,EXITO
292,0.98,1.25,EXITO
293,0.51,1.15,EXITO
297,0.48,1.00,EXITO
293,11.67,0.80,EXITO
298,0.40,1.10,EXITO
295,0.56,1.06,EXITO
295,0.70,1.30,EXITO
295,4.38,0.96,EXITO
299,1.20,1.11,EXITO
298,0.98,1.28,EXITO
299,1.24,1.17,EXITO
302,0.92,1.11,EXITO
303,0.76,1.22,EXITO
304,0.53,1.03,EXITO
288,0.62,1.09,EXITO
66,75.04,-0.71,EXITO
304,0.72,1.26,EXITO
306,0.68,1.09,EXITO
299,19.60,0.57,EXITO
300,0.74,1.17,EXITO
306,0.82,1.20,EXITO
300,0.62,1.21,EXITO
304,3.44,1.04,EXITO
306,0.72,1.28,EXITO
302,1.90,0.99,EXITO
301,0.72,1.17,EXITO
302,0.68,1.12,EXITO
305,0.34,1.03,EXITO
302,0.68,1.19,EXITO
307,0.94,1.04,EXITO
303,0.58,1.15,EXITO
309,0.70,1.09,EXITO
304,0.78,1.09,EXITO
293,0.44,1.02,EXITO
305,1.58,1.17,EXITO
311,1.02,1.24,EXITO
312,0.82,1.30,EXITO
306,0.80,1.19,EXITO
312,1.80,1.08,EXITO
307,0.92,1.02,EXITO
310,0.36,1.01,EXITO
314,0.54,1.18,EXITO
312,0.42,1.05,EXITO
308,2.86,1.01,EXITO
312,2.00,1.21,EXITO
316,0.60,1.04,EXITO
307,0.72,0.99,EXITO
314,0.68,1.18,EXITO
312,1.30,0.99,EXITO
312,2.82,0.96,EXITO
310,3.18,1.05,EXITO
314,0.66,1.17,EXITO
319,0.62,1.08,EXITO
320,0.82,1.18,EXITO
313,1.60,1.24,EXITO
321,0.50,1.02,EXITO
322,0.52,1.06,EXITO
315,0.36,1.04,EXITO
317,0.88,1.05,EXITO
70,1.22,1.00,EXITO
318,2.06,1.15,EXITO
317,0.58,1.15,EXITO
318,0.84,1.11,EXITO
319,0.96,1.08,EXITO
322,4.54,0.95,EXITO
321,2.20,1.09,EXITO
321,0.54,1.08,EXITO
326,0.58,1.12,EXITO
323,0.52,1.07,EXITO
328,4.16,1.13,EXITO
325,15.18,0.88,EXITO
324,0.74,1.28,EXITO
313,9.18,0.85,EXITO
325,0.18,1.01,EXITO
333,6.12,0.90,EXITO
335,0.68,1.27,EXITO
334,1.36,1.01,EXITO
335,1.32,1.09,EXITO
329,1.84,1.13,EXITO
333,4.52,0.91,EXITO
330,1.22,1.03,EXITO
331,0.56,1.13,EXITO
332,0.48,1.04,EXITO
333,0.90,1.10,EXITO
340,4.12,0.96,EXITO
341,1.52,1.13,EXITO
320,1.46,1.04,EXITO
334,0.80,1.03,EXITO
333,0.72,1.26,EXITO
332,4.80,0.90,EXITO
